category,accuracy,Number of PCs
isolated,1.0,2
connected,0.8860103626943006,2
merged,0.5925925925925926,2
total,0.9341317365269461,2
isolated,1.0,2
connected,0.8736842105263158,2
merged,0.4489795918367347,2
total,0.9236526946107785,2
isolated,1.0,2
connected,0.8866995073891626,2
merged,0.4406779661016949,2
total,0.9161676646706587,2
isolated,1.0,2
connected,0.875,2
merged,0.39215686274509803,2
total,0.9176646706586826,2
isolated,1.0,2
connected,0.8895027624309392,2
merged,0.42857142857142855,2
total,0.9281437125748503,2
isolated,1.0,2
connected,0.8833333333333333,2
merged,0.4444444444444444,2
total,0.9236526946107785,2
isolated,1.0,2
connected,0.896551724137931,2
merged,0.4915254237288136,2
total,0.9281437125748503,2
isolated,1.0,2
connected,0.8947368421052632,2
merged,0.4375,2
total,0.9326347305389222,2
isolated,1.0,2
connected,0.900523560209424,2
merged,0.48484848484848486,2
total,0.9206586826347305,2
isolated,1.0,2
connected,0.9045226130653267,2
merged,0.42857142857142855,2
total,0.9236526946107785,2
isolated,1.0,2
connected,0.8333333333333334,2
merged,0.5348837209302325,2
total,0.9176646706586826,2
isolated,1.0,2
connected,0.8757062146892656,2
merged,0.6842105263157895,2
total,0.9401197604790419,2
isolated,1.0,2
connected,0.859375,2
merged,0.4666666666666667,2
total,0.9116766467065869,2
isolated,1.0,2
connected,0.8287292817679558,2
merged,0.40816326530612246,2
total,0.9101796407185628,2
isolated,1.0,2
connected,0.8564102564102564,2
merged,0.5094339622641509,2
total,0.9191616766467066,2
isolated,1.0,2
connected,0.8994708994708994,2
merged,0.5714285714285714,2
total,0.9401197604790419,2
isolated,1.0,2
connected,0.8606060606060606,2
merged,0.5348837209302325,2
total,0.9356287425149701,2
isolated,1.0,2
connected,0.8315789473684211,2
merged,0.4358974358974359,2
total,0.9191616766467066,2
isolated,1.0,2
connected,0.8571428571428571,2
merged,0.45454545454545453,2
total,0.9251497005988024,2
isolated,1.0,2
connected,0.8864864864864865,2
merged,0.4745762711864407,2
total,0.9221556886227545,2
isolated,1.0,3
connected,0.91005291005291,3
merged,0.6122448979591837,3
total,0.9461077844311377,3
isolated,1.0,3
connected,0.8756218905472637,3
merged,0.5833333333333334,3
total,0.9251497005988024,3
isolated,1.0,3
connected,0.9082125603864735,3
merged,0.46551724137931033,3
total,0.9251497005988024,3
isolated,1.0,3
connected,0.9326424870466321,3
merged,0.5357142857142857,3
total,0.9416167664670658,3
isolated,1.0,3
connected,0.927536231884058,3
merged,0.5227272727272727,3
total,0.9461077844311377,3
isolated,1.0,3
connected,0.8888888888888888,3
merged,0.5813953488372093,3
total,0.9401197604790419,3
isolated,1.0,3
connected,0.9132947976878613,3
merged,0.4642857142857143,3
total,0.9326347305389222,3
isolated,1.0,3
connected,0.8798076923076923,3
merged,0.423728813559322,3
total,0.9116766467065869,3
isolated,1.0,3
connected,0.9578947368421052,3
merged,0.36,3
total,0.9401197604790419,3
isolated,1.0,3
connected,0.9411764705882353,3
merged,0.5263157894736842,3
total,0.9431137724550899,3
isolated,1.0,3
connected,0.9020618556701031,3
merged,0.4838709677419355,3
total,0.9236526946107785,3
isolated,1.0,3
connected,0.9148936170212766,3
merged,0.42105263157894735,3
total,0.9266467065868264,3
isolated,1.0,3
connected,0.8900523560209425,3
merged,0.5660377358490566,3
total,0.9341317365269461,3
isolated,1.0,3
connected,0.9230769230769231,3
merged,0.54,3
total,0.9431137724550899,3
isolated,1.0,3
connected,0.9226804123711341,3
merged,0.5660377358490566,3
total,0.9431137724550899,3
isolated,1.0,3
connected,0.9137055837563451,3
merged,0.5370370370370371,3
total,0.937125748502994,3
isolated,1.0,3
connected,0.9206349206349206,3
merged,0.5892857142857143,3
total,0.9431137724550899,3
isolated,1.0,3
connected,0.91,3
merged,0.43103448275862066,3
total,0.9236526946107785,3
isolated,1.0,3
connected,0.9278350515463918,3
merged,0.5576923076923077,3
total,0.9446107784431138,3
isolated,1.0,3
connected,0.8888888888888888,3
merged,0.5283018867924528,3
total,0.9311377245508982,3
isolated,1.0,4
connected,0.964824120603015,4
merged,0.6296296296296297,4
total,0.9595808383233533,4
isolated,1.0,4
connected,0.93717277486911,4
merged,0.5238095238095238,4
total,0.937125748502994,4
isolated,1.0,4
connected,0.9405405405405406,4
merged,0.46551724137931033,4
total,0.937125748502994,4
isolated,1.0,4
connected,0.943502824858757,4
merged,0.52,4
total,0.9491017964071856,4
isolated,1.0,4
connected,0.9540816326530612,4
merged,0.6388888888888888,4
total,0.9670658682634731,4
isolated,1.0,4
connected,0.9322916666666666,4
merged,0.4915254237288136,4
total,0.9356287425149701,4
isolated,1.0,4
connected,0.94,4
merged,0.5526315789473685,4
total,0.9565868263473054,4
isolated,1.0,4
connected,0.9239130434782609,4
merged,0.6666666666666666,4
total,0.9505988023952096,4
isolated,1.0,4
connected,0.9417989417989417,4
merged,0.5185185185185185,4
total,0.9446107784431138,4
isolated,1.0,4
connected,0.9447513812154696,4
merged,0.6,4
total,0.9550898203592815,4
isolated,1.0,4
connected,0.9633507853403142,4
merged,0.6071428571428571,4
total,0.9565868263473054,4
isolated,1.0,4
connected,0.9572192513368984,4
merged,0.5254237288135594,4
total,0.9461077844311377,4
isolated,1.0,4
connected,0.9764705882352941,4
merged,0.5094339622641509,4
total,0.9550898203592815,4
isolated,1.0,4
connected,0.9205607476635514,4
merged,0.45652173913043476,4
total,0.937125748502994,4
isolated,1.0,4
connected,0.9329896907216495,4
merged,0.5319148936170213,4
total,0.9476047904191617,4
isolated,1.0,4
connected,0.9444444444444444,4
merged,0.6,4
total,0.9535928143712575,4
isolated,1.0,4
connected,0.9585492227979274,4
merged,0.5294117647058824,4
total,0.9520958083832335,4
isolated,1.0,4
connected,0.9226519337016574,4
merged,0.6181818181818182,4
total,0.9476047904191617,4
isolated,1.0,4
connected,0.9202127659574468,4
merged,0.58,4
total,0.9461077844311377,4
isolated,1.0,4
connected,0.9521276595744681,4
merged,0.4827586206896552,4
total,0.9416167664670658,4
isolated,1.0,5
connected,0.9502762430939227,5
merged,0.6610169491525424,5
total,0.9565868263473054,5
isolated,1.0,5
connected,0.9473684210526315,5
merged,0.5849056603773585,5
total,0.9520958083832335,5
isolated,1.0,5
connected,0.9470588235294117,5
merged,0.6119402985074627,5
total,0.9476047904191617,5
isolated,1.0,5
connected,0.9735449735449735,5
merged,0.4406779661016949,5
total,0.9431137724550899,5
isolated,1.0,5
connected,0.9558823529411765,5
merged,0.6428571428571429,5
total,0.9565868263473054,5
isolated,1.0,5
connected,0.9818181818181818,5
merged,0.6219512195121951,5
total,0.9491017964071856,5
isolated,1.0,5
connected,0.9533678756476683,5
merged,0.6222222222222222,5
total,0.9610778443113772,5
isolated,1.0,5
connected,0.9621621621621622,5
merged,0.6027397260273972,5
total,0.9461077844311377,5
isolated,1.0,5
connected,0.9617486338797814,5
merged,0.6071428571428571,5
total,0.9565868263473054,5
isolated,1.0,5
connected,0.9513513513513514,5
merged,0.578125,5
total,0.9461077844311377,5
isolated,1.0,5
connected,0.9782608695652174,5
merged,0.6226415094339622,5
total,0.9640718562874252,5
isolated,1.0,5
connected,0.9748743718592965,5
merged,0.5319148936170213,5
total,0.9595808383233533,5
isolated,1.0,5
connected,0.9554455445544554,5
merged,0.6349206349206349,5
total,0.9520958083832335,5
isolated,1.0,5
connected,0.9583333333333334,5
merged,0.6666666666666666,5
total,0.9595808383233533,5
isolated,1.0,5
connected,0.9545454545454546,5
merged,0.6458333333333334,5
total,0.9610778443113772,5
isolated,1.0,5
connected,0.9696969696969697,5
merged,0.6666666666666666,5
total,0.9595808383233533,5
isolated,1.0,5
connected,0.9675675675675676,5
merged,0.5625,5
total,0.9491017964071856,5
isolated,1.0,5
connected,0.9640718562874252,5
merged,0.6346153846153846,5
total,0.9625748502994012,5
isolated,1.0,5
connected,0.9740932642487047,5
merged,0.6226415094339622,5
total,0.9625748502994012,5
isolated,1.0,5
connected,0.9583333333333334,5
merged,0.5319148936170213,5
total,0.9550898203592815,5
isolated,1.0,6
connected,0.9685863874345549,6
merged,0.6875,6
total,0.968562874251497,6
isolated,1.0,6
connected,0.9635416666666666,6
merged,0.5818181818181818,6
total,0.9550898203592815,6
isolated,1.0,6
connected,0.9608938547486033,6
merged,0.6610169491525424,6
total,0.9595808383233533,6
isolated,1.0,6
connected,0.967391304347826,6
merged,0.6071428571428571,6
total,0.9580838323353293,6
isolated,1.0,6
connected,0.9723756906077348,6
merged,0.640625,6
total,0.9580838323353293,6
isolated,1.0,6
connected,0.9623655913978495,6
merged,0.5454545454545454,6
total,0.9520958083832335,6
isolated,1.0,6
connected,0.9705882352941176,6
merged,0.5573770491803278,6
total,0.9520958083832335,6
isolated,1.0,6
connected,0.9619565217391305,6
merged,0.5238095238095238,6
total,0.9595808383233533,6
isolated,1.0,6
connected,0.984375,6
merged,0.49056603773584906,6
total,0.9550898203592815,6
isolated,1.0,6
connected,0.9790575916230366,6
merged,0.6721311475409836,6
total,0.9640718562874252,6
isolated,1.0,6
connected,0.9884393063583815,6
merged,0.5849056603773585,6
total,0.9640718562874252,6
isolated,1.0,6
connected,0.9732620320855615,6
merged,0.6346153846153846,6
total,0.9640718562874252,6
isolated,1.0,6
connected,0.9796954314720813,6
merged,0.6724137931034483,6
total,0.9655688622754491,6
isolated,1.0,6
connected,0.9621621621621622,6
merged,0.5862068965517241,6
total,0.9535928143712575,6
isolated,1.0,6
connected,0.975609756097561,6
merged,0.7083333333333334,6
total,0.9715568862275449,6
isolated,1.0,6
connected,0.9795918367346939,6
merged,0.5,6
total,0.9550898203592815,6
isolated,1.0,6
connected,0.989247311827957,6
merged,0.515625,6
total,0.9505988023952096,6
isolated,1.0,6
connected,0.9840425531914894,6
merged,0.6212121212121212,6
total,0.9580838323353293,6
isolated,1.0,6
connected,0.9631578947368421,6
merged,0.4444444444444444,6
total,0.9520958083832335,6
isolated,1.0,6
connected,0.9559748427672956,6
merged,0.6071428571428571,6
total,0.9565868263473054,6
